item_id,item_name,baris_selisih,harga_large_item_prices,medium_conversion_qty,small_conversion_qty,pricing_mode,unit_fo,harga_fo_saat_ini,harga_seharusnya
53043,"Chicken Breast",188,47600,1,1000,manual,"Kilogram (medium) x188","57.200 (x188)","47.600 (x188)"
54673,"Mushroom Sauce",180,37055,16,500,manual,"Pack (medium) x180","37.100 (x180)","2.400 (x180)"
54667,"Barbeque Sauce",177,29638,4,500,manual,"Pack (medium) x177","29.700 (x177)","7.500 (x177)"
54668,"Blackpepper Sauce",163,38622,14,500,manual,"Pack (medium) x163","38.700 (x163)","2.800 (x163)"
54708,"Beef Patty",148,675587,73,1,manual,"Pcs (small) x148","200 (x148)","9.300 (x148)"
53111,Onion,142,20200,1,1000,auto,"Kilogram (medium) x142","37.000 (x3); 22.400 (x30); 21.300 (x40); 22.500 (x23); 20.500 (x46)","20.200 (x142)"
54671,"Japanese Teriyaki Sauce",138,18450,10,500,manual,"Pack (medium) x138","18.500 (x138)","1.900 (x138)"
54706,"Beef Chuck Short Ribs Dice",117,58189,19,1,manual,"Pack (small) x117","58.200 (x117)","3.100 (x117)"
54676,"Cheese Sauce",116,58901,18,250,manual,"Pack (medium) x116","59.000 (x116)","3.300 (x116)"
54675,"Sauce Blueberry",113,89955,9,250,manual,"Pack (medium) x113","9.500 (x47); 1.100 (x66)","10.000 (x113)"
54697,"Kuah Buntut",109,7622,45,200,manual,"Pack (medium) x109","7.700 (x109)","200 (x109)"
54669,"Bolognaise Sauce",93,21924,8,250,manual,"Pack (medium) x93","22.000 (x93)","2.800 (x93)"
54682,"Dressing Salad",89,94544,2,500,manual,"Pack (medium) x89","23.700 (x89)","47.300 (x89)"
54672,"Korean BBQ Sauce",73,25900,22,500,manual,"Pack (medium) x73","25.900 (x73)","1.200 (x73)"
52660,Guacamole,66,89200,1,300,auto,"Botol (medium) x66","58.600 (x4); 58.900 (x8); 62.300 (x46); 72.400 (x8)","89.200 (x66)"
52789,"Plastik Wrap",65,145600,1,1,auto,"Pack (small) x65","220.700 (x65)","145.600 (x65)"
52503,"Beras Jepang",60,38100,1,1000,auto,"Kilogram (medium) x60","37.600 (x60)","38.100 (x60)"
52447,"Tepung Roti Kasar",57,22200,1,1000,auto,"Kilogram (medium) x57","22.400 (x2); 22.500 (x55)","22.200 (x57)"
54700,"Thai Dressing",53,30194,18,500,manual,"Pack (medium) x53","30.200 (x53)","1.700 (x53)"
53265,"Butter Salted",52,87573,1,200,manual,"Pack (medium) x52","62.500 (x52)","87.600 (x52)"
52574,Sarsaparilla,51,5451,1,250,manual,"Botol (medium) x51","9.600 (x51)","5.500 (x51)"
54713,"Beef Ragout",48,37871,14,225,manual,"Pack (medium) x48","37.900 (x48)","2.800 (x48)"
54707,"Beef Oxtail",46,83853,18,1,manual,"Pack (small) x46","83.900 (x46)","4.700 (x46)"
52738,"Alumunium Foil",44,15700,1,1,auto,"Pack (small) x44","17.400 (x1); 21.300 (x43)","15.700 (x44)"
54692,"Coating Goreng",44,4580,1,70,manual,"Pack (medium) x44","3.900 (x44)","4.600 (x44)"
54729,"Duck Crispy",44,37746,20,1,manual,"Pcs (small) x44","37.800 (x44)","1.900 (x44)"
52887,"Paper Cutleries Large",44,44900,1,100,auto,"Pack (medium) x44","44.800 (x5); 30.800 (x10); 30.900 (x29)","44.900 (x44)"
