item_id,item_name,baris_selisih,harga_large_item_prices,medium_conversion_qty,small_conversion_qty,pricing_mode,unit_fo,harga_fo_saat_ini,harga_seharusnya
54708,"Beef Patty",103,675587,73,1,manual,"Pcs (small) x103","200 (x103)","9.300 (x103)"
53111,Onion,70,20200,1,1000,auto,"Kilogram (medium) x70","37.000 (x3); 22.400 (x30); 21.300 (x17); 22.500 (x20)","20.200 (x70)"
54682,"Dressing Salad",66,94544,2,500,manual,"Pack (medium) x66","23.700 (x66)","47.300 (x66)"
54675,"Sauce Blueberry",51,89955,9,250,manual,"Pack (medium) x51","1.100 (x50); 9.500 (x1)","10.000 (x51)"
54667,"Barbeque Sauce",39,29638,4,500,manual,"Pack (medium) x39","29.700 (x39)","7.500 (x39)"
54668,"Blackpepper Sauce",38,38622,14,500,manual,"Pack (medium) x38","38.700 (x38)","2.800 (x38)"
54673,"Mushroom Sauce",37,37055,16,500,manual,"Pack (medium) x37","37.100 (x37)","2.400 (x37)"
53043,"Chicken Breast",35,47600,1,1000,manual,"Kilogram (medium) x35","57.200 (x35)","47.600 (x35)"
52503,"Beras Jepang",30,38100,1,1000,auto,"Kilogram (medium) x30","37.600 (x30)","38.100 (x30)"
54671,"Japanese Teriyaki Sauce",30,18450,10,500,manual,"Pack (medium) x30","18.500 (x30)","1.900 (x30)"
52738,"Alumunium Foil",28,15700,1,1,auto,"Pack (small) x28","21.300 (x27); 17.400 (x1)","15.700 (x28)"
54706,"Beef Chuck Short Ribs Dice",26,58189,19,1,manual,"Pack (small) x26","58.200 (x26)","3.100 (x26)"
52789,"Plastik Wrap",26,145600,1,1,auto,"Pack (small) x26","220.700 (x26)","145.600 (x26)"
52574,Sarsaparilla,26,5451,1,250,manual,"Botol (medium) x26","9.600 (x26)","5.500 (x26)"
54669,"Bolognaise Sauce",22,21924,8,250,manual,"Pack (medium) x22","22.000 (x22)","2.800 (x22)"
54697,"Kuah Buntut",22,7622,45,200,manual,"Pack (medium) x22","7.700 (x22)","200 (x22)"
53079,"Buah Strawberry Frozen",21,23520,1,1000,manual,"Kilogram (medium) x21","22.400 (x21)","23.600 (x21)"
54676,"Cheese Sauce",21,58901,18,250,manual,"Pack (medium) x21","59.000 (x21)","3.300 (x21)"
54692,"Coating Goreng",21,4580,1,70,manual,"Pack (medium) x21","3.900 (x21)","4.600 (x21)"
52660,Guacamole,20,89200,1,300,auto,"Botol (medium) x20","58.600 (x4); 58.900 (x8); 62.300 (x8)","89.200 (x20)"
54672,"Korean BBQ Sauce",20,25900,22,500,manual,"Pack (medium) x20","25.900 (x20)","1.200 (x20)"
52447,"Tepung Roti Kasar",20,22200,1,1000,auto,"Kilogram (medium) x20","22.400 (x2); 22.500 (x18)","22.200 (x20)"
53265,"Butter Salted",19,87573,1,200,manual,"Pack (medium) x19","62.500 (x19)","87.600 (x19)"
52392,"Marjan Strawberry",19,25300,1,460,auto,"Botol (medium) x19","25.200 (x19)","25.300 (x19)"
52429,"Salad Oil",19,169700,1,3000,auto,"Galon (medium) x19","896.000 (x19)","169.700 (x19)"
52887,"Paper Cutleries Large",18,44900,1,100,auto,"Pack (medium) x18","44.800 (x5); 30.800 (x10); 30.900 (x3)","44.900 (x18)"
52732,"Hands Glove Rubber",17,78500,1,100,auto,"Pack (medium) x17","78.400 (x17)","78.500 (x17)"
54710,"Meat Ball Patty",16,837250,194,1,manual,"Pcs (small) x16","100 (x16)","4.400 (x16)"
54730,"Duck Confit",15,883504,20,1,manual,"Pcs (small) x15","42.200 (x1); 2.200 (x14)","44.200 (x15)"
52455,"Vetcin Powder",14,50900,1,1000,auto,"Kilogram (medium) x14","39.200 (x9); 39.300 (x5)","50.900 (x14)"
52711,Balon,13,168100,1,100,auto,"Pack (medium) x13","168.000 (x13)","168.100 (x13)"
54713,"Beef Ragout",13,37871,14,225,manual,"Pack (medium) x13","37.900 (x13)","2.800 (x13)"
54707,"Beef Oxtail",12,83853,18,1,manual,"Pack (small) x12","83.900 (x12)","4.700 (x12)"
52339,"Buah Peach Can",12,61700,1,480,auto,"Can (medium) x12","61.600 (x12)","61.700 (x12)"
55500,"Label Preparation Roll",12,168100,1,1000,auto,"Roll (medium) x12","168.000 (x12)","168.100 (x12)"
54729,"Duck Crispy",11,37746,20,1,manual,"Pcs (small) x11","37.800 (x11)","1.900 (x11)"
52790,"Salad Bowl",11,54800,1,25,auto,"Pack (medium) x11","38.700 (x11)","54.800 (x11)"
52736,Hairnet,10,44900,1,100,auto,"Pack (medium) x10","44.800 (x10)","44.900 (x10)"
52496,"Kacang Tanah",10,34200,1,1000,auto,"Kilogram (medium) x10","39.200 (x5); 39.300 (x5)","34.200 (x10)"
