line_id,item_id,item_name,tanggal,order_number,status,outlet,unit,unit_tier,qty,current_price,expected_price,diff,price_large,medium_conv,small_conv,pricing_mode
12211119,52738,"Alumunium Foil",2026-06-12,RO-20260612-F25D,packing,"Justus Steakhouse The Barn",Pack,small,3,21300,15700,5600,15700,1,1,auto
12175089,52738,"Alumunium Foil",2026-06-12,RO-20260612-FDE2,packing,"Tempayan Citarum",Pack,small,3,17400,15700,1700,15700,1,1,auto
12234350,52738,"Alumunium Foil",2026-06-13,RO-20260613-EBEC,packing,"Justus Steak House Bintaro",Pack,small,5,21300,15700,5600,15700,1,1,auto
12230428,52738,"Alumunium Foil",2026-06-13,RO-20260613-2344,packing,"Justus Steakhouse SMB",Pack,small,5,21300,15700,5600,15700,1,1,auto
12324645,52738,"Alumunium Foil",2026-06-15,RO-20260615-3CE0,packing,"Justus Steakhouse The Barn",Pack,small,3,21300,15700,5600,15700,1,1,auto
12336816,52738,"Alumunium Foil",2026-06-15,RO-20260615-5B6E,packing,"Justus Steakhouse SMB",Pack,small,5,21300,15700,5600,15700,1,1,auto
12433582,52738,"Alumunium Foil",2026-06-16,RO-20260616-B1E0,packing,"Melt Steak d'Botanica",Pack,small,2,21300,15700,5600,15700,1,1,auto
12425842,52738,"Alumunium Foil",2026-06-16,RO-20260616-3CE9,packing,"Justus Steak House Festival Citylink",Pack,small,1,21300,15700,5600,15700,1,1,auto
12422831,52738,"Alumunium Foil",2026-06-16,RO-20260616-386E,packing,"Justus Steak House Dago",Pack,small,1,21300,15700,5600,15700,1,1,auto
12424124,52738,"Alumunium Foil",2026-06-16,RO-20260616-0A2B,packing,"Justus Steak House Paris Van Java",Pack,small,2,21300,15700,5600,15700,1,1,auto
12460413,52738,"Alumunium Foil",2026-06-16,RO-20260616-6953,packing,"Justus Steak House Ciwalk",Pack,small,2,21300,15700,5600,15700,1,1,auto
12447220,52738,"Alumunium Foil",2026-06-16,RO-20260616-4C1E,packing,"Justus Steak House Miko Mall",Pack,small,2,21300,15700,5600,15700,1,1,auto
12441977,52738,"Alumunium Foil",2026-06-16,RO-20260616-7244,packing,"Tempayan Citarum",Pack,small,3,21300,15700,5600,15700,1,1,auto
12429773,52738,"Alumunium Foil",2026-06-16,RO-20260616-93F7,packing,"ASIAN GRILL BIP",Pack,small,1,21300,15700,5600,15700,1,1,auto
12423570,52738,"Alumunium Foil",2026-06-16,RO-20260616-EB2C,packing,"Justus Steak House Buah Batu",Pack,small,5,21300,15700,5600,15700,1,1,auto
12483077,52738,"Alumunium Foil",2026-06-17,RO-20260617-5C2E,packing,"Justus Steak House Cipete",Pack,small,3,21300,15700,5600,15700,1,1,auto
