no,item_name,item_id,sku,outlet,warehouse,period_from,period_to,report_unit,report_qty,fo_price_stored,cost_implied_fo_div_112,matched_gr_number,matched_gr_date,matched_po_number,matched_po_price,matched_po_unit,matched_hpp_large,matched_sell_large,fo_tanggal_ref,match_method,price_reason
1,"Beras Lokal",52334,GC-20250620-2217,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,25.000,17500.00,15625.00,GR-20260602-0007,2026-06-02,POF26051459,15600.00,Kilogram,15600.00,17500.00,2026-06-03,sell_line≈fo_stored,"FO simpan Rp 17.500 = jual +12% dari GR GR-20260602-0007 (2026-06-02), PO POF26051459, beli Rp 15.600/Kilogram (HPP Rp 15.600). Angka ~15.625 di laporan = FO÷1,12."
2,"Beras Pandan Wangi",52333,GC-20250620-5032,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,10.000,17500.00,15625.00,GR-20260529-0018,2026-05-29,POF26051290,15600.00,Kilogram,15600.00,17500.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 17.500 = jual +12% dari GR GR-20260529-0018 (2026-05-29), PO POF26051290, beli Rp 15.600/Kilogram (HPP Rp 15.600). Angka ~15.625 di laporan = FO÷1,12."
3,"Black Pepper",52337,GC-20260225-2603,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,0.500,201700.00,180089.29,GR-20260604-0026,2026-06-04,POF26060110,180000.00,Kilogram,180000.00,201700.00,2026-06-06,sell_line≈fo_stored,"FO simpan Rp 201.700 = jual +12% dari GR GR-20260604-0026 (2026-06-04), PO POF26060110, beli Rp 180.000/Kilogram (HPP Rp 180.000). Angka ~180.089 di laporan = FO÷1,12."
4,"Buah Lychee Can",52338,GC-20251224-3145,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Can,10.000,28000.00,25000.00,GR-20260530-0048,2026-05-30,POF26051291,25000.00,Can,25000.00,28000.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 28.000 = jual +12% dari GR GR-20260530-0048 (2026-05-30), PO POF26051291, beli Rp 25.000/Can (HPP Rp 25.000). Angka ~25.000 di laporan = FO÷1,12."
5,"Buah Peach Can",52339,GC-20250620-8357,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Can,1.000,63300.00,56517.86,,,,,,,,2026-05-31,not_found,"FO Rp 63.300 belum cocok ke GR pusat ≤ 2026-05-31"
6,"Cheese Powder",52463,GC-20250620-3862,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,0.500,179300.00,160089.29,GR-20260611-0015,2026-06-11,POF26060381,160000.00,Kilogram,160000.00,179300.00,2026-06-16,sell_line≈fo_stored,"FO simpan Rp 179.300 = jual +12% dari GR GR-20260611-0015 (2026-06-11), PO POF26060381, beli Rp 160.000/Kilogram (HPP Rp 160.000). Angka ~160.089 di laporan = FO÷1,12."
7,"Chicken Powder",52343,GC-20250620-8867,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,4.000,101000.00,90178.57,GR-20260523-0015,2026-05-23,POF26050962,90099.00,Pack,90099.00,101000.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 101.000 = jual +12% dari GR GR-20260523-0015 (2026-05-23), PO POF26050962, beli Rp 90.099/Pack (HPP Rp 90.099). Angka ~90.179 di laporan = FO÷1,12."
8,"Chilli Flake",52345,GC-20250624-1365,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,0.500,156900.00,140089.29,GR-20260530-0010,2026-05-30,POF26051474,140000.00,Kilogram,140000.00,156900.00,2026-06-03,sell_line≈fo_stored,"FO simpan Rp 156.900 = jual +12% dari GR GR-20260530-0010 (2026-05-30), PO POF26051474, beli Rp 140.000/Kilogram (HPP Rp 140.000). Angka ~140.089 di laporan = FO÷1,12."
9,"Chocolate Compound",52461,GC-20260615-4772,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
10,"Coca Cola Can",52351,GC-20260508-2449,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Box,1.000,146100.00,130446.43,GR-20260603-0017,2026-06-03,POF26051465,130399.00,Box,130399.00,146100.00,2026-06-07,sell_line≈fo_stored,"FO simpan Rp 146.100 = jual +12% dari GR GR-20260603-0017 (2026-06-03), PO POF26051465, beli Rp 130.399/Box (HPP Rp 130.399). Angka ~130.446 di laporan = FO÷1,12."
11,"Coca Cola Zero Can",78832,GC-20260511-9315,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
12,"Cokelat Powder",52353,GC-20260406-7964,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
13,"Cream Soup Powder",52355,GC-20250620-9402,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
14,Fryall,52360,GC-20250620-6057,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pail,3.000,453900.00,405267.86,GR-20260603-0015,2026-06-03,POF26060019,405207.00,Pail,405207.00,453900.00,2026-06-03,sell_line≈fo_stored,"FO simpan Rp 453.900 = jual +12% dari GR GR-20260603-0015 (2026-06-03), PO POF26060019, beli Rp 405.207/Pail (HPP Rp 405.207). Angka ~405.268 di laporan = FO÷1,12."
15,"Garam Kapal",52361,GC-20250620-6203,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,3.000,2600.00,2321.43,GR-20260611-0022,2026-06-11,POF26060446,2250.00,Pack,2250.00,2600.00,2026-06-13,sell_line≈fo_stored,"FO simpan Rp 2.600 = jual +12% dari GR GR-20260611-0022 (2026-06-11), PO POF26060446, beli Rp 2.250/Pack (HPP Rp 2.250). Angka ~2.321 di laporan = FO÷1,12."
16,"Garam Refina",52362,GC-20250620-1464,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
17,"Gas Whipped",52364,GC-20250620-3158,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,2.000,85800.00,76607.14,GR-20260602-0062,2026-06-02,POF26051457,76570.00,Pack,76570.00,85800.00,2026-06-07,sell_line≈fo_stored,"FO simpan Rp 85.800 = jual +12% dari GR GR-20260602-0062 (2026-06-02), PO POF26051457, beli Rp 76.570/Pack (HPP Rp 76.570). Angka ~76.607 di laporan = FO÷1,12."
18,Gerkin,52365,GC-20250620-4081,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,5.000,34900.00,31160.71,GR-20260602-0054,2026-06-02,POF26051450,31080.00,Botol,31080.00,34900.00,2026-06-05,sell_line≈fo_stored,"FO simpan Rp 34.900 = jual +12% dari GR GR-20260602-0054 (2026-06-02), PO POF26051450, beli Rp 31.080/Botol (HPP Rp 31.080). Angka ~31.161 di laporan = FO÷1,12."
19,Guacamole,52660,GC-20250719-4687,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
20,"Gula Pasir",52371,GC-20250620-6840,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,8.000,20000.00,17857.14,GR-20251123-0006,2025-11-23,POF25110850,17500.00,Kilogram,17500.00,19700.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 20.000 = jual +12% dari GR GR-20251123-0006 (2025-11-23), PO POF25110850, beli Rp 17.500/Kilogram (HPP Rp 17.500). Angka ~17.857 di laporan = FO÷1,12."
